Date,Close
02/27/2025,500.27
02/28/2020,205.69
02/28/2022,346.62
02/28/2023,293.41
02/28/2024,435.27
02/28/2025,508.17
02/29/2024,439.0
03/01/2021,323.42
03/01/2022,341.31
03/01/2023,291.05
03/01/2024,445.61
03/02/2020,216.31
03/02/2021,318.23
03/02/2022,347.04
03/02/2023,293.46
03/03/2020,209.37
03/03/2021,309.0
03/03/2022,342.08
03/03/2023,299.52
03/03/2025,497.05
03/04/2020,218.11
03/04/2021,303.94
03/04/2022,337.12
03/04/2024,444.02
03/04/2025,495.55
03/05/2020,211.48
03/05/2021,308.52
03/05/2024,436.05
03/05/2025,502.01
03/06/2020,207.91
03/06/2023,299.86
03/06/2024,438.79
03/06/2025,488.2
03/07/2022,324.69
03/07/2023,296.18
03/07/2024,445.45
03/07/2025,491.79
03/08/2021,299.78
03/08/2022,323.18
03/08/2023,297.66
03/08/2024,439.02
03/09/2020,193.47
03/09/2021,311.61
03/09/2022,334.81
03/09/2023,292.51
03/10/2020,204.0
03/10/2021,310.72
03/10/2022,331.1
03/10/2023,288.4
03/10/2025,472.73
03/11/2020,195.12
03/11/2021,317.87
03/11/2022,324.23
03/11/2024,437.39
03/11/2025,471.6
03/12/2020,177.23
03/12/2021,315.29
03/12/2024,443.66
03/12/2025,476.92
03/13/2020,192.24
03/13/2023,290.54
03/13/2024,440.25
03/13/2025,468.34
03/14/2022,318.0
03/14/2023,297.21
03/14/2024,439.14
03/14/2025,479.66
03/15/2021,318.66
03/15/2022,327.98
03/15/2023,298.77
03/15/2024,433.92
03/16/2020,169.21
03/16/2021,320.41
03/16/2022,340.14
03/16/2023,306.65
03/17/2020,182.04
03/17/2021,321.73
03/17/2022,344.26
03/17/2023,305.2
03/17/2025,482.77
03/18/2020,176.51
03/18/2021,311.88
03/18/2022,351.31
03/18/2024,437.48
03/18/2025,474.54
03/19/2020,177.57
03/19/2021,312.98
03/19/2024,438.57
03/19/2025,480.89
03/20/2020,170.61
03/20/2023,305.81
03/20/2024,443.77
03/20/2025,479.26
03/21/2022,349.9
03/21/2023,310.18
03/21/2024,445.87
03/21/2025,480.84
03/22/2021,318.44
03/22/2022,356.77
03/22/2023,305.96
03/22/2024,446.38
03/23/2020,170.37
03/23/2021,317.05
03/23/2022,351.65
03/23/2023,309.59
03/24/2020,183.56
03/24/2021,311.71
03/24/2022,359.46
03/24/2023,310.73
03/24/2025,490.66
03/25/2020,182.2
03/25/2021,311.17
03/25/2022,359.16
03/25/2024,444.76
03/25/2025,493.46
03/26/2020,191.8
03/26/2021,315.83
03/26/2024,443.32
03/26/2025,484.38
03/27/2020,185.2
03/27/2023,308.6
03/27/2024,444.83
03/27/2025,481.62
03/28/2022,364.72
03/28/2023,306.96
03/28/2024,444.01
03/28/2025,468.94
03/29/2021,315.74
03/29/2022,371.0
03/29/2023,312.56
03/30/2020,191.94
03/30/2021,314.15
03/30/2022,366.9
03/30/2023,315.51
03/31/2020,190.3
03/31/2021,318.96
03/31/2022,362.35
03/31/2023,320.76
03/31/2025,468.92
04/01/2020,182.21
04/01/2021,324.4
04/01/2022,361.66
04/01/2024,444.95
04/01/2025,472.7
04/02/2020,185.91
04/02/2024,441.11
04/02/2025,476.15
04/03/2020,183.27
04/03/2023,319.98
04/03/2024,442.1
04/03/2025,450.66
04/04/2022,369.11
04/04/2023,318.9
04/04/2024,435.34
04/04/2025,422.67
04/05/2021,330.88
04/05/2022,360.91
04/05/2023,315.75
04/05/2024,440.47
04/06/2020,196.38
04/06/2021,330.65
04/06/2022,353.07
04/06/2023,317.88
04/07/2020,196.3
04/07/2021,331.45
04/07/2022,353.91
04/07/2025,423.69
04/08/2020,200.46
04/08/2021,334.9
04/08/2022,348.97
04/08/2024,440.6
04/08/2025,416.06
04/09/2020,200.75
04/09/2021,336.93
04/09/2024,442.23
04/09/2025,466.0
04/10/2023,317.7
04/10/2024,438.37
04/10/2025,446.18
04/11/2022,340.71
04/11/2023,315.66
04/11/2024,445.37
04/11/2025,454.4
04/12/2021,336.49
04/12/2022,339.27
04/12/2023,312.88
04/12/2024,438.27
04/13/2020,202.92
04/13/2021,340.42
04/13/2022,346.17
04/13/2023,319.0
04/14/2020,211.75
04/14/2021,336.33
04/14/2022,338.25
04/14/2023,318.4
04/14/2025,457.48
04/15/2020,209.32
04/15/2021,341.43
04/15/2024,431.06
04/15/2025,457.99
04/16/2020,213.14
04/16/2021,341.83
04/16/2024,431.1
04/16/2025,444.18
04/17/2020,215.18
04/17/2023,318.67
04/17/2024,425.84
04/17/2025,444.1
04/18/2022,338.51
04/18/2023,318.69
04/18/2024,423.41
04/19/2021,338.7
04/19/2022,346.08
04/19/2023,318.54
04/19/2024,414.65
04/20/2020,212.63
04/20/2021,336.23
04/20/2022,341.03
04/20/2023,316.11
04/21/2020,204.78
04/21/2021,339.11
04/21/2022,333.97
04/21/2023,316.44
04/21/2025,433.11
04/22/2020,210.86
04/22/2021,335.02
04/22/2022,325.23
04/22/2024,418.82
04/22/2025,444.48
04/23/2020,210.41
04/23/2021,339.24
04/23/2024,425.07
04/23/2025,454.56
04/24/2020,213.73
04/24/2023,315.78
04/24/2024,426.51
04/24/2025,467.35
04/25/2022,329.41
04/25/2023,309.83
04/25/2024,424.45
04/25/2025,472.56
04/26/2021,341.45
04/26/2022,316.97
04/26/2023,311.71
04/26/2024,431.0
04/27/2020,215.45
04/27/2021,339.97
04/27/2022,316.59
04/27/2023,320.18
04/28/2020,211.39
04/28/2021,338.82
04/28/2022,327.84
04/28/2023,322.39
04/28/2025,472.41
04/29/2020,218.89
04/29/2021,340.04
04/29/2022,313.09
04/29/2024,432.75
04/29/2025,475.53
04/30/2020,218.8
04/30/2021,337.81
04/30/2024,424.59
04/30/2025,475.47
05/01/2020,212.63
05/01/2023,322.02
05/01/2024,421.52
05/01/2025,481.68
05/02/2022,318.31
05/02/2023,319.21
05/02/2024,426.9
05/02/2025,488.83
05/03/2021,336.01
05/03/2022,318.65
05/03/2023,317.12
05/03/2024,435.48
05/04/2020,215.11
05/04/2021,329.97
05/04/2022,329.43
05/04/2023,316.0
05/05/2020,217.55
05/05/2021,328.86
05/05/2022,312.84
05/05/2023,322.72
05/05/2025,485.93
05/06/2020,218.89
05/06/2021,331.34
05/06/2022,309.09
05/06/2024,440.25
05/06/2025,481.41
05/07/2020,221.7
05/07/2021,334.02
05/07/2024,440.32
05/07/2025,483.3
05/08/2020,224.74
05/08/2023,323.52
05/08/2024,440.06
05/08/2025,488.29
05/09/2022,296.99
05/09/2023,321.47
05/09/2024,441.02
05/09/2025,487.97
05/10/2021,325.59
05/10/2022,300.6
05/10/2023,324.97
05/10/2024,442.06
05/11/2020,226.75
05/11/2021,325.14
05/11/2022,291.69
05/11/2023,326.03
05/12/2020,222.0
05/12/2021,316.72
05/12/2022,291.0
05/12/2023,324.86
05/12/2025,507.85
05/13/2020,219.22
05/13/2021,319.17
05/13/2022,301.78
05/13/2024,443.08
05/13/2025,515.59
05/14/2020,221.71
05/14/2021,326.22
05/14/2024,445.93
05/14/2025,518.68
05/15/2020,223.15
05/15/2023,326.62
05/15/2024,452.9
05/15/2025,519.25
05/16/2022,298.28
05/16/2023,326.99
05/16/2024,451.98
05/16/2025,521.51
05/17/2021,324.24
05/17/2022,306.01
05/17/2023,330.95
05/17/2024,451.76
05/18/2020,227.31
05/18/2021,322.05
05/18/2022,290.99
05/18/2023,337.09
05/19/2020,226.74
05/19/2021,322.42
05/19/2022,289.43
05/19/2023,336.33
05/19/2025,522.01
05/20/2020,231.27
05/20/2021,328.66
05/20/2022,288.53
05/20/2024,454.91
05/20/2025,520.27
05/21/2020,228.75
05/21/2021,326.84
05/21/2024,455.8
05/21/2025,513.04
05/22/2020,229.54
05/22/2023,337.46
05/22/2024,455.71
05/22/2025,514.0
05/23/2022,293.33
05/23/2023,333.18
05/23/2024,453.66
05/23/2025,509.24
05/24/2021,332.34
05/24/2022,287.09
05/24/2023,331.48
05/24/2024,457.95
05/25/2021,332.8
05/25/2022,291.11
05/25/2023,339.54
05/26/2020,228.92
05/26/2021,333.95
05/26/2022,299.17
05/26/2023,348.22
05/27/2020,230.17
05/27/2021,332.71
05/27/2022,308.94
05/27/2025,521.22
05/28/2020,229.87
05/28/2021,333.75
05/28/2024,459.68
05/28/2025,518.91
05/29/2020,233.24
05/29/2024,456.44
05/29/2025,519.93
05/30/2023,349.8
05/30/2024,451.55
05/30/2025,519.11
05/31/2022,308.12
05/31/2023,347.81
05/31/2024,450.71
06/01/2020,233.94
06/01/2021,332.65
06/01/2022,305.84
06/01/2023,351.83
06/02/2020,235.51
06/02/2021,333.29
06/02/2022,314.21
06/02/2023,354.46
06/02/2025,523.21
06/03/2020,236.57
06/03/2021,329.83
06/03/2022,306.04
06/03/2024,453.13
06/03/2025,527.3
06/04/2020,234.91
06/04/2021,335.42
06/04/2024,454.37
06/04/2025,528.77
06/05/2020,239.56
06/05/2023,354.71
06/05/2024,463.53
06/05/2025,524.79
06/06/2022,307.06
06/06/2023,354.65
06/06/2024,463.37
06/06/2025,529.92
06/07/2021,336.42
06/07/2022,309.71
06/07/2023,348.64
06/07/2024,462.96
06/08/2020,241.42
06/08/2021,336.58
06/08/2022,307.48
06/08/2023,352.96
06/09/2020,243.17
06/09/2021,336.66
06/09/2022,299.24
06/09/2023,354.31
06/09/2025,530.7
